コード,銘柄名,市場
4217-T,日立化成,東証1部
4218-T,ニチバン,東証1部
4220-T,リケンテクノス,東証1部
4221-T,大倉工,東証1部
4228-T,積化成,東証1部
4229-T,群栄化,東証1部
4231-T,タイガポリ,東証1部
4238-T,ミライアル,東証1部
4245-T,ダイキアクシス,東証1部
4246-T,DNC,東証1部
4272-T,日化薬,東証1部
4275-T,カーリットHD,東証1部
4282-T,EPS,東証1部
4284-T,ソルクシーズ,東証1部
4286-T,レッグス,東証1部
4290-T,PI,東証1部
4295-T,フェイス,東証1部
4299-T,ハイマックス,東証1部
4301-T,アミューズ,東証1部
4307-T,NRI,東証1部
4310-T,DI,東証1部
4312-T,サイバネット,東証1部
4318-T,クイック,東証1部
4319-T,TAC,東証1部
4320-T,CEHD,東証1部
4321-T,ケネディクス,東証1部
4324-T,電通,東証1部
4326-T,インテージHD,東証1部
4331-T,T&Gニーズ,東証1部
4333-T,東邦システム,東証1部
4337-T,ぴあ,東証1部
4343-T,ファンタジー,東証1部
4344-T,ソースネクスト,東証1部
4345-T,シーティーエス,東証1部
4346-T,ネクシィーズG,東証1部
4350-T,メディカルシス,東証1部
4362-T,日精化,東証1部
4368-T,扶桑化学,東証1部
4401-T,ADEKA,東証1部
4403-T,日油,東証1部
4404-T,ミヨシ,東証1部
4406-T,日理化,東証1部
4410-T,ハリマ化成G,東証1部
4452-T,花王,東証1部
4461-T,一工薬,東証1部
4463-T,日華化学,東証1部
4465-T,ニイタカ,東証1部
4471-T,三洋化,東証1部
4502-T,武田,東証1部
4503-T,アステラス薬,東証1部
4506-T,大日住薬,東証1部
4507-T,塩野義,東証1部
4508-T,田辺三菱,東証1部
4512-T,ワカモト,東証1部
4514-T,あすか薬,東証1部
4516-T,日本新薬,東証1部
4517-T,ビオフェル,東証1部
4519-T,中外薬,東証1部
4521-T,科研薬,東証1部
4523-T,エーザイ,東証1部
4526-T,理ビタミン,東証1部
4527-T,ロート,東証1部
4528-T,小野薬,東証1部
4530-T,久光薬,東証1部
4531-T,有機薬,東証1部
4534-T,持田薬,東証1部
4536-T,参天薬,東証1部
4538-T,扶桑薬,東証1部
4539-T,日ケミファ,東証1部
4540-T,ツムラ,東証1部
4541-T,日医工,東証1部
4543-T,テルモ,東証1部
4544-T,みらかHD,東証1部
4547-T,キッセイ薬,東証1部
4548-T,生化学,東証1部
4549-T,栄研化,東証1部
4550-T,日水薬,東証1部
4551-T,鳥居薬,東証1部
4552-T,JCRファーマ,東証1部
4553-T,東和薬品,東証1部
4554-T,富士製薬,東証1部
4555-T,沢井製薬,東証1部
4559-T,ゼリア新薬,東証1部
4568-T,第一三共,東証1部
4569-T,キョーリンHD,東証1部
4574-T,大幸薬品,東証1部
4577-T,ダイト,東証1部
4578-T,大塚HD,東証1部
4581-T,大正薬HD,東証1部
4587-T,ペプチド,東証1部
4611-T,大日塗,東証1部
4612-T,日ペイントH,東証1部
4613-T,関西ペ,東証1部
4615-T,神東塗,東証1部
4617-T,中国塗,東証1部
4619-T,日特塗,東証1部
4620-T,藤倉化,東証1部
4626-T,太陽HD,東証1部
4631-T,DIC,東証1部
4633-T,サカタインクス,東証1部
4634-T,洋インキHD,東証1部
4636-T,T&KTOKA,東証1部
4641-T,アルプス技,東証1部
4651-T,サニックス,東証1部
4653-T,ダイオーズ,東証1部
4658-T,日本空調,東証1部
4661-T,OLC,東証1部
4662-T,フォーカスS,東証1部
4665-T,ダスキン,東証1部
4666-T,パーク24,東証1部
4668-T,明光ネット,東証1部
4671-T,ファルコHD,東証1部
4674-T,クレスコ,東証1部
4676-T,フジHD,東証1部
4678-T,秀英,東証1部
4679-T,田谷,東証1部
4680-T,ラウンドワン,東証1部
4681-T,リゾートトラス,東証1部
4684-T,オービック,東証1部
4686-T,ジャストシステ,東証1部
4687-T,TDCソフト,東証1部
4689-T,ヤフー,東証1部
4694-T,BML,東証1部
4696-T,ワタベ,東証1部
4704-T,トレンド,東証1部
4708-T,りらいあ,東証1部
4709-T,ID,東証1部
4714-T,リソー教育,東証1部
4716-T,日本オラクル,東証1部
4718-T,早稲アカ,東証1部
4719-T,アルファシステム,東証1部
4722-T,フューチャー,東証1部
4725-T,CACHD,東証1部
4726-T,ソフトバンテク,東証1部
4728-T,トーセ,東証1部
4732-T,ユー･エス･エス,東証1部
4733-T,OBC,東証1部
4739-T,CTC,東証1部
4743-T,ITFOR,東証1部
4745-T,東京個別,東証1部
4746-T,東計電算,東証1部
4751-T,サイバエージ,東証1部
4755-T,楽天,東証1部
4762-T,エックスネット,東証1部
4763-T,クリーク&リバ,東証1部
4767-T,TOW,東証1部
4768-T,大塚商,東証1部
4775-T,総合メディ,東証1部
4776-T,サイボウズ,東証1部
4779-T,ソフトブレーン,東証1部
4801-T,セントラルSP,東証1部
4809-T,パラカ,東証1部
4812-T,ISID,東証1部
4819-T,Dガレージ,東証1部
4820-T,EMシステムズ,東証1部
4825-T,WNIウェザー,東証1部
4826-T,CIJ,東証1部
4828-T,東洋BENG,東証1部
4829-T,日本エンタ,東証1部
4839-T,WOWOW,東証1部
4845-T,スカラ,東証1部
4848-T,フルキャストHD,東証1部
4901-T,富士フイルム,東証1部
4902-T,コニカミノルタ,東証1部
4911-T,資生堂,東証1部
4912-T,ライオン,東証1部
4914-T,高砂香,東証1部
4917-T,マンダム,東証1部
4919-T,ミルボン,東証1部
4921-T,ファンケル,東証1部
4922-T,コーセー,東証1部
4923-T,コタ,東証1部
4924-T,シーズHD,東証1部
4926-T,シーボン,東証1部
4927-T,ポーラオルHD,東証1部
4928-T,ノエビアHD,東証1部
4929-T,アジュバン,東証1部
4951-T,エステー,東証1部
4955-T,アグロカネシ,東証1部
4956-T,コニシ,東証1部
4958-T,長谷川香,東証1部
4963-T,星光PMC,東証1部
4967-T,小林製薬,東証1部
4968-T,荒川化学,東証1部
4971-T,メック,東証1部
4973-T,高純度化,東証1部
4974-T,タカラバイオ,東証1部
4975-T,JCU,東証1部
4977-T,ニッタゼラチン,東証1部
4979-T,OATアグリオ,東証1部
4980-T,デクセリアルス,東証1部
4985-T,アース製薬,東証1部
4989-T,イハラケミカル,東証1部
4992-T,北興化,東証1部
4994-T,大成ラミック,東証1部
4996-T,クミアイ化,東証1部
4997-T,日農薬,東証1部
5002-T,昭和シェル,東証1部
5009-T,富士興,東証1部
5011-T,ニチレキ,東証1部
5013-T,ユシロ化,東証1部
